id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
216,PHL,origin,39.87195278,-75.24114083,1200,,1,0
216,FLL,dest,26.07258333,-80.15275,1200,,1,0
217,MIA,origin,25.79325,-80.29055556,655,649,0,0
217,CLT,dest,35.21401111,-80.94312583,655,649,0,0
218,CLT,origin,35.21401111,-80.94312583,1100,,1,0
218,PBI,dest,26.68316194,-80.09559417,1100,,1,0
219,IND,origin,39.71732917,-86.29438417,740,,1,0
219,CLT,dest,35.21401111,-80.94312583,740,,1,0
220,FLL,origin,26.07258333,-80.15275,1600,,1,0
220,PHL,dest,39.87195278,-75.24114083,1600,,1,0
221,PHL,origin,39.87195278,-75.24114083,1944,,1,0
221,BDL,dest,41.93887417,-72.68322833,1944,,1,0
222,PHL,origin,39.87195278,-75.24114083,805,801,0,1
222,FLL,dest,26.07258333,-80.15275,805,801,0,1
223,LAS,origin,36.08036111,-115.1523333,2019,,1,0
223,PHL,dest,39.87195278,-75.24114083,2319,,1,0
224,CLT,origin,35.21401111,-80.94312583,1044,,1,0
224,BNA,dest,36.12447667,-86.67818222,944,,1,0
225,ATL,origin,33.64044444,-84.42694444,1648,,1,0
225,CLT,dest,35.21401111,-80.94312583,1648,,1,0
226,CLT,origin,35.21401111,-80.94312583,1850,,1,0
226,DAY,dest,39.90237583,-84.219375,1850,,1,0
227,PHL,origin,39.87195278,-75.24114083,1330,,1,0
227,CLE,dest,41.41089417,-81.84939667,1330,,1,0
228,PIT,origin,40.49146583,-80.23287083,1650,,1,0
228,SYR,dest,43.11118694,-76.10631056,1650,,1,0
229,CLT,origin,35.21401111,-80.94312583,1519,,1,0
